District,Location
MUKTSAR,Chaktam Kot-Pz
MUKTSAR,Dahak-M
MUKTSAR,Dahak-S
MUKTSAR,Dhalkot-Pz
MUKTSAR,Doda
MUKTSAR,Doda-Pz
MUKTSAR,Dohak
MUKTSAR,Giddarbaha-Pz
MUKTSAR,Husnar-Pz
MUKTSAR,Jandwala-Pz
MUKTSAR,Kabar Wala
MUKTSAR,Kattianwali-Pz
MUKTSAR,Khirkian Wala-Pz
MUKTSAR,Khunde Halal-Pz
MUKTSAR,Kollian Wali-pz
MUKTSAR,Kot Bhai- DW
MUKTSAR,Kuttianwali
MUKTSAR,Labanianwali
MUKTSAR,Lambi-Pz
MUKTSAR,Muktsar
MUKTSAR,Phulu Khera-Pz
MUKTSAR,Ratta Khera Chota-Pz
MUKTSAR,Rupana-Pz
MUKTSAR,Sehna khera-Pz
MUKTSAR,Sheikh-Pz
PATHANKOT,Bamyal
PATHANKOT,Bhoa
PATHANKOT,Dhar Khurd
PATHANKOT,Gharotakalan
PATHANKOT,Ghoh
PATHANKOT,Ghoh DW
PATHANKOT,Jainpur-PZ
PATHANKOT,Jandwala
PATHANKOT,Jhakolahri
PATHANKOT,Khanikhui
PATHANKOT,Khogaki Chaka-PZ
PATHANKOT,Kiari- DW
PATHANKOT,Kirian Khurd-PZ
PATHANKOT,Kui-DW
PATHANKOT,Kuther-PZ
PATHANKOT,Malikpur
PATHANKOT,Matti-PZ
PATHANKOT,Mirthal
PATHANKOT,Muthi
PATHANKOT,Narot Jaimalsingh-Pz
PATHANKOT,Nawan Pind
PATHANKOT,Parmota-DW
PATHANKOT,Pathankot1
PATHANKOT,Philora-PZ
PATHANKOT,Phulpiara
PATHANKOT,Rakawal-PZ
PATHANKOT,Rani Pur-PZ
PATHANKOT,Sarna
PATHANKOT,Sujanpur-PZ
PATIALA,Allowal pz
PATIALA,Bahmna exp
PATIALA,Bassma Pipla
PATIALA,Bhankhar-Pz
PATIALA,Bhojo majri 07pz
